Mode,Accelerometer,m_modal,k_modal,d_modal,zeta_ls,zeta_hpp
1,1,555.88,36059.0,23.922,0.0027,0.0081
1,2,173.23,11250.0,6.5952,0.0024,0.0081
1,3,97.124,6310.4,3.6215,0.0023,0.0081
1,4,72.66,4721.1,2.7166,0.0023,0.0081
1,5,23.318,1515.7,0.85343,0.0023,0.0081
1,6,53.069,3448.8,1.9518,0.0023,0.0081
2,1,1734.8,224620.0,123.54,0.0031,0.0077
2,2,509.11,66188.0,22.454,0.0019,0.0077
2,3,318.98,41510.0,13.033,0.0018,0.0096
2,4,275.52,35869.0,11.151,0.0018,0.0096
2,5,-26.447,-3440.3,-1.1042,-0.0018,0.0096
2,6,74.793,9739.9,2.9957,0.0018,0.0096
3,1,424.2,85933.0,13.478,0.0011,0.0061
3,2,145.86,29585.0,4.4975,0.0011,0.0061
3,3,95.473,19372.0,2.8747,0.0011,0.0061
3,4,94.308,19139.0,2.8602,0.0011,0.0077
3,5,-51.972,-10545.0,-1.5647,-0.0011,0.0061
3,6,-22.785,-4621.7,-0.69573,-0.0011,0.0061
4,1,23.213,18344.0,-0.53857,-0.0004,0.0031
4,2,10.129,8005.6,-0.23081,-0.0004,0.0031
4,3,27.681,21880.0,-0.63467,-0.0004,0.0031
4,4,-16.239,-12835.0,0.37191,0.0004,0.0031
4,5,58.101,45921.0,-1.4657,-0.0004,0.0031
4,6,55.039,43503.0,-1.3388,-0.0004,0.0031
5,1,17.609,31622.0,4.1443,0.0028,0.0036
5,2,20.439,36671.0,4.7704,0.0028,0.0031
5,3,-8.6458,-15519.0,-1.998,-0.0027,0.0036
5,4,23.895,42892.0,5.5277,0.0027,0.0036
5,5,-157.09,-281990.0,-35.997,-0.0027,0.0036
5,6,-166.16,-298260.0,-38.349,-0.0027,0.0036
6,1,4.3998,12831.0,-1.0242,-0.0022,0.0028
6,2,-6.7996,-19829.0,1.5866,0.0022,0.0024
6,3,15.757,45947.0,-3.6889,-0.0022,0.002
6,4,-79.934,-233090.0,18.73,0.0022,0.002
6,5,294.76,865060.0,-153.64,-0.0048,0.0008
6,6,530.63,1547500.0,-128.43,-0.0022,0.002
